796.357
Powers, James Joseph Aloysius
Baseball personalities
Dec 17 1949
Sep 4 1950
Feb 28 1951
Jun 18 1951
Aug 18 1951
Oct 5 1951
Feb 26 1952
Apr 29 1952
Oct 25 1952
Feb 16 1953
Aug 19 1953
Sep 2 1953
Oct 25 1953
Nov 10 1953
Jun 21 1954
Dec 6 1954
Feb 7 1955
May 27 1955
Aug 22 1955
Sep 31 1955
Jan 21 1956
Apr 12 1956
Jul 2 1956
Jan 5 1957
Apr 13 1957
May 4 1947
Jun 4 1957
Nov 1 1957
Dec 7 1957
Jan 25 1958
Mar 2 1958
Mar 30 1958
Mar 30 1958
Apr 19 1958
May 31 1958
Aug 26 1958
Jun 8 1959
Jun 28 1959
Sep 21 1959
Mar 1 1960
Jul 7 1960
Jul 7 1960
Aug 29 1962
Jul 12 1960
Aug 1 1960
Aug 24 1960
Sep 24 1960
Nov 1 1960
Dec 28 1960
Feb 11 1961
Jul 8 1961
Jul 26 1961
Sep 5 1961
Oct 3 1961
Feb 3 1962
Jun 28 1962
